season,team,gp,wins,losses,otl,win_pct,goals_for_pg,goals_against_pg
20212022,Florida Panthers,82,58,18,6,0.707,4.11,2.95
20212022,Colorado Avalanche,82,56,19,7,0.683,3.76,2.83
20212022,Toronto Maple Leafs,82,54,21,7,0.659,3.8,3.07
20212022,Carolina Hurricanes,82,54,20,8,0.659,3.38,2.44
20212022,Minnesota Wild,82,53,22,7,0.646,3.72,3.04
20212022,New York Rangers,82,52,24,6,0.634,3.05,2.49
20212022,Tampa Bay Lightning,82,51,23,8,0.622,3.48,2.78
20212022,Boston Bruins,82,51,26,5,0.622,3.09,2.66
20212022,Calgary Flames,82,50,21,11,0.61,3.55,2.51
20212022,St. Louis Blues,82,49,22,11,0.598,3.77,2.91
20212022,Edmonton Oilers,82,49,27,6,0.598,3.48,3.06
20212022,Pittsburgh Penguins,82,46,25,11,0.561,3.28,2.71
20212022,Dallas Stars,82,46,30,6,0.561,2.84,2.98
20212022,Nashville Predators,82,45,30,7,0.549,3.2,3.05
20212022,Los Angeles Kings,82,44,27,11,0.537,2.87,2.83
20212022,Washington Capitals,82,44,26,12,0.537,3.29,2.95
20212022,Vegas Golden Knights,82,43,31,8,0.524,3.2,2.98
20212022,Vancouver Canucks,82,40,30,12,0.488,3.0,2.82
20212022,Winnipeg Jets,82,39,32,11,0.476,3.05,3.09
20212022,New York Islanders,82,37,35,10,0.451,2.79,2.82
20212022,Columbus Blue Jackets,82,37,38,7,0.451,3.15,3.62
20212022,Ottawa Senators,82,33,42,7,0.402,2.73,3.22
20212022,San Jose Sharks,82,32,37,13,0.39,2.57,3.18
20212022,Buffalo Sabres,82,32,39,11,0.39,2.79,3.5
20212022,Detroit Red Wings,82,32,40,10,0.39,2.77,3.78
20212022,Anaheim Ducks,82,31,37,14,0.378,2.78,3.24
20212022,Chicago Blackhawks,82,28,42,12,0.341,2.6,3.52
20212022,Seattle Kraken,82,27,49,6,0.329,2.6,3.46
20212022,New Jersey Devils,82,27,46,9,0.329,2.99,3.68
20212022,Philadelphia Flyers,82,25,46,11,0.305,2.56,3.59
20212022,Arizona Coyotes,82,25,50,7,0.305,2.51,3.77
20212022,Montréal Canadiens,82,22,49,11,0.268,2.66,3.87
20222023,Boston Bruins,82,65,12,5,0.793,3.67,2.12
20222023,New Jersey Devils,82,52,22,8,0.634,3.52,2.71
20222023,Carolina Hurricanes,82,52,21,9,0.634,3.2,2.56
20222023,Vegas Golden Knights,82,51,22,9,0.622,3.26,2.74
20222023,Colorado Avalanche,82,51,24,7,0.622,3.34,2.72
20222023,Edmonton Oilers,82,50,23,9,0.61,3.96,3.12
20222023,Toronto Maple Leafs,82,50,21,11,0.61,3.39,2.68
20222023,Dallas Stars,82,47,21,14,0.573,3.43,2.62
20222023,Los Angeles Kings,82,47,25,10,0.573,3.34,3.1
20222023,New York Rangers,82,47,22,13,0.573,3.33,2.63
20222023,Minnesota Wild,82,46,25,11,0.561,2.91,2.67
20222023,Winnipeg Jets,82,46,33,3,0.561,3.0,2.73
20222023,Seattle Kraken,82,46,28,8,0.561,3.52,3.07
20222023,Tampa Bay Lightning,82,46,30,6,0.561,3.41,3.07
20222023,Nashville Predators,82,42,32,8,0.512,2.72,2.88
20222023,New York Islanders,82,42,31,9,0.512,2.95,2.65
20222023,Buffalo Sabres,82,42,33,7,0.512,3.57,3.62
20222023,Florida Panthers,82,42,32,8,0.512,3.51,3.32
20222023,Pittsburgh Penguins,82,40,31,11,0.488,3.18,3.21
20222023,Ottawa Senators,82,39,35,8,0.476,3.16,3.29
20222023,Calgary Flames,82,38,27,17,0.463,3.15,3.01
20222023,Vancouver Canucks,82,38,37,7,0.463,3.29,3.61
20222023,St. Louis Blues,82,37,38,7,0.451,3.17,3.63
20222023,Detroit Red Wings,82,35,37,10,0.427,2.89,3.35
20222023,Washington Capitals,82,35,37,10,0.427,3.09,3.18
20222023,Philadelphia Flyers,82,31,38,13,0.378,2.68,3.37
20222023,Montréal Canadiens,82,31,45,6,0.378,2.77,3.72
20222023,Arizona Coyotes,82,28,40,14,0.341,2.74,3.6
20222023,Chicago Blackhawks,82,26,49,7,0.317,2.46,3.65
20222023,Columbus Blue Jackets,82,25,48,9,0.305,2.6,4.01
20222023,Anaheim Ducks,82,23,47,12,0.28,2.51,4.09
20222023,San Jose Sharks,82,22,44,16,0.268,2.84,3.84
20232024,New York Rangers,82,55,23,4,0.671,3.39,2.76
20232024,Carolina Hurricanes,82,52,23,7,0.634,3.38,2.57
20232024,Dallas Stars,82,52,21,9,0.634,3.59,2.83
20232024,Winnipeg Jets,82,52,24,6,0.634,3.16,2.41
20232024,Florida Panthers,82,52,24,6,0.634,3.23,2.41
20232024,Colorado Avalanche,82,50,25,7,0.61,3.68,3.07
20232024,Vancouver Canucks,82,50,23,9,0.61,3.4,2.7
20232024,Edmonton Oilers,82,49,27,6,0.598,3.56,2.88
20232024,Boston Bruins,82,47,20,15,0.573,3.21,2.7
20232024,Nashville Predators,82,47,30,5,0.573,3.24,3.02
20232024,Toronto Maple Leafs,82,46,26,10,0.561,3.63,3.18
20232024,Vegas Golden Knights,82,45,29,8,0.549,3.21,2.96
20232024,Tampa Bay Lightning,82,45,29,8,0.549,3.51,3.26
20232024,Los Angeles Kings,82,44,27,11,0.537,3.1,2.56
20232024,St. Louis Blues,82,43,33,6,0.524,2.85,3.02
20232024,Detroit Red Wings,82,41,32,9,0.5,3.35,3.33
20232024,Washington Capitals,82,40,31,11,0.488,2.63,3.07
20232024,Minnesota Wild,82,39,34,9,0.476,3.02,3.17
20232024,Buffalo Sabres,82,39,37,6,0.476,2.98,2.96
20232024,New York Islanders,82,39,27,16,0.476,2.99,3.15
20232024,Philadelphia Flyers,82,38,33,11,0.463,2.82,3.15
